m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
1402,46,1,83,1,12,13,4,2,2023,2,2019,3,64500
966,44,1,75,1,2,9,4,2,2023,1,2018,2,42500
1128,39,1,104,3,9,12,4,2,2023,2,2018,2,44000
743,74,2,83,1,1,9,4,2,2023,2,2018,2,55000
1875,160,4,83,1,2,8,4,2,2023,2,2018,2,300000
800,122,3,33,3,11,16,4,2,2023,2,2018,2,97600
1667,105,3,83,1,4,8,4,2,2023,2,2018,2,175000
650,101,3,83,1,7,12,4,2,2023,2,2022,2,65838
1161,155,4,61,1,1,3,4,2,2023,2,2022,2,180000
1027,75,3,4,1,6,9,4,2,2023,3,2022,2,77000
621,43,1,83,1,6,16,4,2,2023,1,2025,2,26700
867,94,2,86,1,9,9,4,2,2023,1,2025,2,81500
1030,125,4,83,1,10,10,4,2,2023,2,2022,2,128750
962,58,3,87,5,5,5,4,2,2023,3,2022,2,55800
1383,42,1,59,3,8,9,4,2,2023,2,2022,2,58500
913,104,3,38,4,3,9,4,2,2023,2,2022,2,95000
1095,62,3,122,4,5,5,4,2,2023,3,2022,3,67900
1103,39,1,88,5,9,11,4,2,2023,1,2022,3,43000
968,100,2,83,1,3,14,4,2,2023,3,2022,3,97000
1370,46,1,83,1,8,12,4,2,2023,2,2019,3,63000
1140,68,2,83,1,5,14,4,2,2023,2,2022,3,77500
690,41,1,15,1,7,14,4,2,2023,1,2022,3,28300
1261,44,1,4,1,10,13,4,2,2023,2,2021,3,55500
828,99,3,49,5,9,14,4,2,2023,2,2023,3,82000
1222,45,2,130,4,4,4,4,2,2023,3,2023,3,55000
1224,76,2,83,1,3,12,4,2,2023,2,2021,3,93000
969,16,1,79,3,5,5,4,2,2023,1,1963,2,15500
985,67,2,83,1,4,14,4,2,2023,3,2022,1,66000
1012,43,2,79,3,1,3,4,2,2023,1,1963,2,43500
1250,74,2,121,4,14,19,4,2,2023,2,2018,1,92500
818,99,3,49,5,3,14,4,2,2023,2,2023,1,81000
1030,125,4,83,1,10,14,4,2,2023,2,2022,1,128750
981,53,1,75,1,3,9,4,2,2023,3,2022,3,52000
1200,50,1,83,1,11,12,4,2,2023,2,2020,3,60000
765,70,2,83,1,14,14,4,2,2023,2,2022,1,53168
1150,104,3,83,1,4,14,4,2,2023,2,2022,1,119600
1220,122,3,83,1,6,12,4,2,2023,1,2022,5,148840
